line_id,wavelength,atomic_number,ion_number,f_ul,f_lu,level_number_lower,level_number_upper,nu,B_lu,B_ul,A_ul,wavelength_cm
566337,223315.75068613683,1,0,0.06899408284023668,0.1166,9.0,12.0,13424599791053.193,437173080378.9185,258682296082.20035,9228.16522667055,0.002233157506861369
566315,223404.55465605957,1,0,0.210399173553719,0.3143,8.0,10.0,13419263473009.432,1178886270833.3416,789171801136.369,28119.151409691814,0.0022340455465605963
566401,226423.66985500514,1,0,0.0020059565217391303,0.006279,12.0,22.0,13240332081534.494,23869746903.78854,7625684738.639439,260.9877312680461,0.0022642366985500518
566424,228458.8114008779,1,0,0.0004420888888888889,0.00203,13.0,29.0,13122385438395.393,7786449240.712543,1695715612.4218426,56.49838069425196,0.0022845881140087796
566423,233009.882969534,1,0,0.0005549060642092747,0.002381,13.0,28.0,12866083368626.805,9314707957.488667,2170847514.468227,68.17309549760714,0.0023300988296953403
566379,236328.92989794028,1,0,0.009697777777777777,0.02182,11.0,17.0,12685389729030.072,86577918566.81184,38479074918.583046,1158.1923123620254,0.002363289298979403
566400,236757.34276874622,1,0,0.0028555413223140492,0.008178,12.0,21.0,12662435491718.773,32507686977.401123,11350824585.084276,339.8003030296459,0.0023675734276874627
566422,238274.07643929977,1,0,0.00070625,0.002825,13.0,27.0,12581832756631.078,11301361133.38256,2825340283.34564,82.97496880720384,0.002382740764392998
566358,238680.1882207925,1,0,0.03157831111111111,0.05872,10.0,14.0,12560424903078.89,235308667476.7633,126543772287.50381,3697.4165646282263,0.0023868018822079257
566421,244420.9202996172,1,0,0.0009130534979423868,0.003396,13.0,26.0,12265417282305.744,13936109898.8956,3746882771.170833,101.94400734516124,0.0024442092029961725
566399,249826.3997007568,1,0,0.004215419501133787,0.011,12.0,20.0,12000031155998.434,46138823946.517044,17681318020.32059,450.51200512211256,0.0024982639970075682
566420,251676.99007659775,1,0,0.0012015147928994083,0.004144,13.0,25.0,11911794475480.586,17510508741.718822,5077011410.320842,126.5273249175046,0.002516769900765978
566419,260351.91398618135,1,0,0.0016147264,0.005149,13.0,24.0,11514893568860.492,22507080927.625374,7058220578.9033165,158.89843618483934,0.002603519139861814
566378,261682.2191966678,1,0,0.01736968858131488,0.03486,11.0,16.0,11456355686692.273,153157088855.97556,76313566765.6072,1691.9433995284355,0.0026168221919666786
566398,266818.9367403141,1,0,0.0065276250000000004,0.01545,12.0,19.0,11235801388856.363,69211878845.84602,29242018812.36995,611.5952804576697,0.002668189367403142
566418,270879.9950174336,1,0,0.002225076388888889,0.006539,13.0,23.0,11067353201210.21,29738823000.272327,10119460604.259336,202.27084394092915,0.0027087999501743364
566439,273528.9279673424,1,0,0.00061675,0.002467,14.0,29.0,10960173763990.084,11329426304.89755,2832356576.2243876,54.98507960915258,0.0027352892796734243
